num_GPUs,Mem_Size,Llama7b_Process,Llama70b_Process,Llama2_70B_Process,Llama31_405B_Process,Mixtral_8x7B_Process,DeepSeek_R1_Process,prefill_token_size,gen_token_size,batch_size,TDP,Model_Variant,Scenario_Type
8,288GB,,3196,3196,16620,1982,83102,0,0,1,4000,FP16 (Base) (70B),Novel
8,288GB,27,,,,,,0,0,1,4000,MXFP4,Summarization
8,288GB,,236,236,1226,146,6131,0,0,1,4000,MXFP4 (70B),Summarization
8,288GB,36,,,,,,0,0,1,4000,FP8,Summarization
8,288GB,,318,318,1655,197,8277,0,0,1,4000,FP8 (70B),Summarization
8,288GB,54,,,,,,0,0,1,4000,FP16 (Base),Summarization
8,288GB,,472,472,2453,292,12263,0,0,1,4000,FP16 (Base) (70B),Summarization
8,288GB,24,,,,,,0,0,16,4000,MXFP4,Chat
8,288GB,,210,210,1089,130,5447,0,0,16,4000,MXFP4 (70B),Chat
8,288GB,32,,,,,,0,0,16,4000,FP8,Chat
8,288GB,,283,283,1471,175,7354,0,0,16,4000,FP8 (70B),Chat
8,288GB,48,,,,,,0,0,16,4000,FP16 (Base),Chat
8,288GB,,419,419,2179,260,10894,0,0,16,4000,FP16 (Base) (70B),Chat
8,288GB,196,,,,,,0,0,16,4000,MXFP4,Novel
8,288GB,,1718,1718,8933,1065,44667,0,0,16,4000,MXFP4 (70B),Novel
8,288GB,265,,,,,,0,0,16,4000,FP8,Novel
8,288GB,,2319,2319,12060,1438,60301,0,0,16,4000,FP8 (70B),Novel
8,288GB,393,,,,,,0,0,16,4000,FP16 (Base),Novel
8,288GB,,3436,3436,17867,2130,89334,0,0,16,4000,FP16 (Base) (70B),Novel
8,288GB,29,,,,,,0,0,16,4000,MXFP4,Summarization
8,288GB,,254,254,1318,157,6591,0,0,16,4000,MXFP4 (70B),Summarization
8,288GB,39,,,,,,0,0,16,4000,FP8,Summarization
8,288GB,,342,342,1780,212,8898,0,0,16,4000,FP8 (70B),Summarization
8,288GB,58,,,,,,0,0,16,4000,FP16 (Base),Summarization
8,288GB,,507,507,2636,314,13182,0,0,16,4000,FP16 (Base) (70B),Summarization
8,288GB,25,,,,,,0,0,64,4000,MXFP4,Chat
8,288GB,,219,219,1140,136,5701,0,0,64,4000,MXFP4 (70B),Chat
8,288GB,34,,,,,,0,0,64,4000,FP8,Chat
8,288GB,,296,296,1539,184,7696,0,0,64,4000,FP8 (70B),Chat
8,288GB,50,,,,,,0,0,64,4000,FP16 (Base),Chat
